Ano do BO (RDO);Data do Acidente;Tipo do veiculo da vitima;Tipo de vitima;Tipo de acidente;Sexo;Idade da vitima
2023;21/02/2023;MOTOCICLETA;PASSAGEIRO;COLISAO;FEMININO;47
2022;29/12/2022;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;35
2023;19/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;47
2023;20/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;35
2023;20/02/2023;MOTOCICLETA;PASSAGEIRO;NAO DISPONIVEL;FEMININO;34
2023;20/02/2023;MOTOCICLETA;CONDUTOR;NAO DISPONIVEL;FEMININO;42
2023;20/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;34
2023;17/01/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;24
2023;19/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;19
2023;19/01/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;39
2023;20/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;32
2023;20/02/2023;AUTOMOVEL;CONDUTOR;OUTROS;MASCULINO;48
2023;20/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;30
2023;20/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;18
2023;20/02/2023;MOTOCICLETA;CONDUTOR;ATROPELAMENTO;MASCULINO;20
2023;20/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;26
2023;20/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;20/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;28
2023;20/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;23
2023;20/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;39
2023;20/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;30
2023;20/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;24
2023;20/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;30
